Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.      
Vardas256           Pavarde256          7         2         2         10        3         9         9         7         7         10        7         5         8         1         4         8         
Vardas257           Pavarde257          4         9         2         8         5         3         2         2         8         4         6         5         10        6         10        9         
Vardas258           Pavarde258          5         10        7         3         8         7         1         6         10        2         1         8         3         3         10        10        
Vardas259           Pavarde259          1         2         3         6         5         2         3         1         2         1         7         1         6         7         8         6         
Vardas260           Pavarde260          10        1         6         8         10        2         4         6         2         9         7         8         10        9         6         6         
Vardas261           Pavarde261          3         10        9         8         2         9         2         4         1         1         6         5         4         4         3         2         
Vardas262           Pavarde262          5         4         5         3         8         8         6         1         4         4         9         7         9         3         7         2         
Vardas263           Pavarde263          5         9         4         10        4         3         2         5         8         5         3         2         4         9         2         10        
Vardas264           Pavarde264          8         3         2         6         3         2         6         8         10        6         8         4         5         5         2         4         
Vardas265           Pavarde265          6         2         4         5         7         6         5         3         5         3         7         10        2         4         6         6         
Vardas266           Pavarde266          1         8         3         3         8         2         8         10        6         2         7         7         7         10        7         8         
Vardas267           Pavarde267          9         3         5         1         7         9         2         7         9         2         3         9         3         3         1         7         
Vardas268           Pavarde268          8         7         6         5         3         9         3         3         2         2         5         10        6         9         5         5         
Vardas269           Pavarde269          8         3         4         3         4         6         5         6         9         4         8         3         10        1         7         4         
Vardas270           Pavarde270          4         8         1         2         7         10        8         1         10        1         3         1         2         4         8         9         
Vardas271           Pavarde271          3         9         4         3         9         2         9         1         2         3         6         8         1         5         10        10        
Vardas272           Pavarde272          7         5         6         3         2         3         6         10        9         8         6         8         6         10        5         3         
Vardas273           Pavarde273          10        10        5         7         9         8         2         1         4         6         7         1         3         8         5         3         
Vardas274           Pavarde274          1         5         2         8         10        8         2         8         7         1         7         6         3         5         3         6         
Vardas275           Pavarde275          4         10        2         3         3         4         9         1         9         6         2         6         2         4         10        9         
Vardas276           Pavarde276          7         2         9         8         2         9         6         1         2         4         2         7         10        7         8         7         
Vardas277           Pavarde277          8         5         9         1         3         2         1         7         7         1         7         4         6         6         4         10        
Vardas278           Pavarde278          6         4         8         6         9         7         6         8         3         5         1         7         7         10        9         9         
Vardas279           Pavarde279          5         9         10        4         3         10        8         8         9         5         2         1         1         8         10        10        
Vardas280           Pavarde280          1         5         5         4         1         6         10        5         5         7         10        6         1         5         3         9         
Vardas281           Pavarde281          9         5         4         7         6         5         1         5         3         5         6         3         1         7         8         1         
Vardas282           Pavarde282          7         7         7         9         6         1         10        10        3         9         10        7         8         4         5         9         
Vardas283           Pavarde283          10        8         10        7         9         8         1         5         2         5         9         8         9         10        8         10        
Vardas284           Pavarde284          4         4         6         1         4         4         10        10        5         6         5         4         6         9         2         5         
Vardas285           Pavarde285          5         7         10        5         2         6         2         8         6         2         1         7         5         6         7         4         
Vardas286           Pavarde286          3         4         4         10        10        3         5         10        7         6         3         7         4         2         3         6         
Vardas287           Pavarde287          4         8         4         5         9         7         6         10        6         3         4         9         7         3         3         2         
Vardas288           Pavarde288          6         2         10        8         8         7         4         6         10        2         6         2         4         3         9         7         
Vardas289           Pavarde289          3         5         2         1         5         1         5         10        10        7         6         1         4         4         7         8         
Vardas290           Pavarde290          4         1         9         3         3         4         7         3         8         6         9         1         2         5         5         7         
Vardas291           Pavarde291          1         6         7         5         4         4         5         6         3         10        2         7         2         8         3         10        
Vardas292           Pavarde292          3         10        5         7         5         6         7         6         6         6         8         6         10        9         4         4         
Vardas293           Pavarde293          3         7         10        9         9         1         8         1         9         1         4         4         10        10        7         1         
Vardas294           Pavarde294          3         9         6         7         8         5         10        5         1         10        8         3         7         10        1         2         
Vardas295           Pavarde295          3         6         1         1         6         1         1         4         5         10        1         2         9         5         7         5         
Vardas296           Pavarde296          3         4         7         2         10        5         1         9         6         5         7         2         10        10        8         5         
Vardas297           Pavarde297          10        7         5         2         1         5         2         10        1         6         9         10        3         8         4         10        
Vardas298           Pavarde298          9         2         2         1         5         6         6         8         4         8         1         5         9         7         8         1         
Vardas299           Pavarde299          7         4         2         5         7         9         8         4         8         7         10        3         10        8         4         9         
Vardas300           Pavarde300          9         9         6         7         9         10        9         7         1         1         2         1         4         6         9         9         
Vardas301           Pavarde301          10        7         9         5         4         3         6         8         2         7         1         9         7         5         8         6         
Vardas302           Pavarde302          8         8         7         9         3         8         6         8         7         2         6         2         7         2         5         4         
Vardas303           Pavarde303          9         4         1         3         7         1         7         10        5         2         5         3         7         2         5         4         
Vardas304           Pavarde304          4         5         9         3         1         1         7         1         1         6         1         10        7         6         8         10        
Vardas305           Pavarde305          7         6         2         8         4         5         9         3         4         10        7         7         5         4         3         10        
Vardas306           Pavarde306          6         10        8         6         9         3         6         10        5         4         6         3         6         9         2         7         
Vardas307           Pavarde307          10        8         3         2         5         1         3         5         8         9         9         5         2         4         6         9         
Vardas308           Pavarde308          10        6         3         9         2         3         4         4         1         9         4         5         3         6         7         1         
Vardas309           Pavarde309          6         4         8         3         1         3         2         6         5         8         4         2         8         5         8         9         
Vardas310           Pavarde310          8         9         6         10        6         4         4         1         10        3         4         6         3         2         4         8         
Vardas311           Pavarde311          2         1         6         2         3         2         3         5         6         7         7         6         8         3         10        8         
Vardas312           Pavarde312          9         7         1         2         9         6         4         8         5         6         10        4         3         2         3         1         
Vardas313           Pavarde313          9         4         6         6         2         4         5         4         8         3         2         9         2         7         7         1         
Vardas314           Pavarde314          5         4         10        10        3         7         4         1         7         7         4         8         4         6         3         7         
Vardas315           Pavarde315          1         6         3         4         10        7         8         9         7         10        1         10        10        10        7         7         
Vardas316           Pavarde316          9         5         7         6         3         8         3         3         10        4         5         9         3         9         10        6         
Vardas317           Pavarde317          1         9         6         9         3         2         6         7         3         3         9         10        9         7         2         4         
Vardas318           Pavarde318          9         4         3         2         3         7         5         3         9         4         9         9         7         2         9         10        
Vardas319           Pavarde319          9         6         8         10        3         2         5         3         4         5         2         8         9         9         8         9         
Vardas320           Pavarde320          5         2         5         9         6         6         2         4         9         3         4         3         2         6         6         4         
Vardas321           Pavarde321          6         2         3         5         8         4         1         7         10        4         2         2         6         9         1         6         
Vardas322           Pavarde322          1         5         6         2         8         10        5         2         3         1         7         7         1         3         3         6         
Vardas323           Pavarde323          2         9         4         6         5         4         1         7         8         10        5         2         3         4         3         4         
Vardas324           Pavarde324          2         5         6         8         7         8         5         5         5         8         9         10        4         4         1         9         
Vardas325           Pavarde325          8         3         2         9         3         9         1         2         4         8         5         3         2         2         6         3         
Vardas326           Pavarde326          10        3         5         2         4         7         10        3         4         6         6         4         8         2         9         5         
Vardas327           Pavarde327          2         1         6         4         10        4         2         8         9         5         6         8         9         3         5         9         
Vardas328           Pavarde328          2         3         3         10        6         2         5         4         8         9         1         1         10        2         4         4         
Vardas329           Pavarde329          8         2         2         3         7         5         7         7         10        6         8         9         2         4         3         2         
Vardas330           Pavarde330          2         5         9         2         3         3         9         8         10        2         8         7         6         5         10        5         
Vardas331           Pavarde331          7         4         10        5         6         9         2         1         7         1         3         8         6         1         5         2         
Vardas332           Pavarde332          9         7         9         5         3         3         5         6         3         8         5         4         1         8         4         9         
Vardas333           Pavarde333          1         1         4         1         10        5         8         2         4         6         9         2         1         9         7         2         
Vardas334           Pavarde334          5         2         9         1         4         4         10        6         10        3         10        6         8         3         1         6         
Vardas335           Pavarde335          1         9         6         5         5         3         4         5         10        1         2         9         9         8         8         10        
Vardas336           Pavarde336          2         2         5         8         1         10        5         10        2         8         2         7         7         4         7         9         
Vardas337           Pavarde337          7         6         8         2         3         7         5         10        10        3         3         3         7         2         6         10        
Vardas338           Pavarde338          6         4         7         10        3         9         5         3         1         5         6         2         7         9         2         8         
Vardas339           Pavarde339          1         5         9         8         3         3         7         6         2         8         9         2         8         1         4         3         
Vardas340           Pavarde340          6         9         7         5         10        7         3         5         3         10        9         2         3         3         2         3         
Vardas341           Pavarde341          5         5         9         4         4         7         2         4         8         5         9         7         3         2         8         9         
Vardas342           Pavarde342          7         1         7         7         7         3         3         9         7         2         7         5         10        6         2         7         
Vardas343           Pavarde343          6         7         8         1         5         8         5         7         6         1         2         5         2         2         5         1         
Vardas344           Pavarde344          8         6         2         8         8         1         4         7         1         6         9         1         5         3         5         2         
Vardas345           Pavarde345          10        8         5         5         5         10        2         1         10        10        4         10        9         3         6         6         
Vardas346           Pavarde346          4         4         9         9         7         10        5         3         4         4         6         3         8         1         4         5         
Vardas347           Pavarde347          6         4         7         1         1         6         4         3         2         1         9         3         3         9         3         3         
Vardas348           Pavarde348          6         6         2         7         6         2         8         1         4         9         9         8         3         6         2         5         
Vardas349           Pavarde349          7         6         4         5         4         1         6         4         10        2         2         2         3         5         8         4         
Vardas350           Pavarde350          2         1         6         2         9         7         8         1         9         1         1         5         10        7         8         2         
Vardas351           Pavarde351          2         4         4         4         1         2         10        3         4         8         6         5         5         10        7         5         
Vardas352           Pavarde352          7         6         1         5         4         6         1         8         7         7         2         7         5         1         6         4         
Vardas353           Pavarde353          1         1         4         5         10        6         6         7         10        9         8         6         3         8         6         3         
Vardas354           Pavarde354          4         5         2         7         10        7         7         7         5         3         1         4         4         3         9         10        
Vardas355           Pavarde355          2         3         4         3         2         5         10        3         8         9         4         6         7         10        9         6         
Vardas356           Pavarde356          2         2         8         7         6         9         3         8         8         8         1         9         9         3         1         1         
Vardas357           Pavarde357          10        1         9         7         7         1         5         2         10        3         5         5         6         3         2         2         
Vardas358           Pavarde358          3         9         8         5         4         2         2         10        6         4         2         7         2         5         3         2         
Vardas359           Pavarde359          8         1         9         10        1         2         4         2         1         4         6         3         2         1         2         2         
Vardas360           Pavarde360          8         6         9         2         6         3         6         10        3         4         8         2         7         5         10        4         
Vardas361           Pavarde361          8         10        9         7         8         1         6         6         2         10        9         3         7         7         4         2         
Vardas362           Pavarde362          3         9         3         4         3         7         1         9         6         1         1         8         10        2         4         4         
Vardas363           Pavarde363          3         8         8         8         7         3         8         8         1         8         3         1         1         9         6         9         
Vardas364           Pavarde364          2         10        8         7         4         6         5         1         7         8         10        2         10        3         1         10        
Vardas365           Pavarde365          6         7         4         6         1         10        2         7         4         9         10        8         8         4         3         4         
Vardas366           Pavarde366          4         5         7         8         3         2         2         7         3         10        10        9         1         6         10        4         
Vardas367           Pavarde367          6         3         2         10        3         8         3         5         3         4         6         2         9         5         10        8         
Vardas368           Pavarde368          9         6         2         3         8         5         5         4         5         1         5         8         3         5         1         2         
Vardas369           Pavarde369          7         2         2         4         3         8         7         3         10        6         1         5         2         1         6         3         
Vardas370           Pavarde370          10        4         10        4         4         3         10        1         7         4         6         1         3         10        10        7         
Vardas371           Pavarde371          3         4         1         7         6         8         9         4         2         5         1         3         6         7         3         3         
Vardas372           Pavarde372          2         3         7         6         9         4         10        5         6         3         3         4         7         10        10        9         
Vardas373           Pavarde373          7         1         4         8         1         7         3         9         7         4         8         2         3         6         2         7         
Vardas374           Pavarde374          8         3         7         3         4         3         5         5         4         9         8         6         1         8         2         6         
Vardas375           Pavarde375          5         5         7         4         2         8         3         2         1         6         7         5         7         10        3         9         
Vardas376           Pavarde376          7         9         7         6         3         5         5         9         2         4         6         4         6         7         10        4         
Vardas377           Pavarde377          2         8         6         7         9         5         10        8         2         1         3         3         3         8         6         1         
Vardas378           Pavarde378          7         4         9         6         5         4         9         3         4         7         1         7         6         4         8         9         
Vardas379           Pavarde379          3         3         8         9         9         10        8         3         2         4         10        4         5         3         8         7         
Vardas380           Pavarde380          2         10        7         5         9         4         9         8         7         1         2         9         2         8         7         7         
Vardas381           Pavarde381          8         2         1         8         10        8         5         8         6         7         6         8         4         2         7         1         
Vardas382           Pavarde382          5         3         3         4         3         1         2         10        5         7         4         6         8         2         2         9         
Vardas383           Pavarde383          5         2         3         5         2         5         7         8         3         8         3         7         6         5         2         2         
Vardas384           Pavarde384          2         9         5         8         5         6         10        2         2         6         3         7         7         6         3         5         
Vardas385           Pavarde385          4         1         7         1         3         1         4         10        4         9         8         10        2         6         7         8         
Vardas386           Pavarde386          8         7         5         3         6         6         4         4         2         8         1         6         3         2         3         1         
Vardas387           Pavarde387          3         1         6         6         6         9         9         4         4         5         7         1         4         5         8         10        
Vardas388           Pavarde388          8         2         7         10        6         4         8         4         10        8         1         2         7         7         3         3         
Vardas389           Pavarde389          9         8         4         2         6         3         8         10        6         2         6         9         6         7         4         5         
Vardas390           Pavarde390          7         2         2         6         6         8         4         4         7         10        6         5         2         10        10        7         
Vardas391           Pavarde391          3         2         8         1         10        2         5         1         5         2         7         2         1         6         1         6         
Vardas392           Pavarde392          9         1         9         3         8         10        4         7         8         2         10        10        10        3         8         4         
Vardas393           Pavarde393          1         4         2         8         9         2         9         7         6         4         1         1         7         9         8         4         
Vardas394           Pavarde394          9         2         2         8         1         7         7         4         4         2         1         10        6         8         7         4         
Vardas395           Pavarde395          7         1         1         3         6         8         6         3         8         9         1         10        6         2         6         1         
Vardas396           Pavarde396          7         4         5         8         3         9         3         2         7         2         7         1         10        2         4         9         
Vardas397           Pavarde397          3         3         10        2         5         1         3         7         8         5         8         1         1         10        3         5         
Vardas398           Pavarde398          10        10        3         3         8         10        3         1         7         10        4         6         3         2         7         3         
Vardas399           Pavarde399          10        6         4         2         1         8         2         1         3         5         8         7         2         9         1         2         
Vardas400           Pavarde400          5         5         8         8         3         1         8         8         9         6         8         6         8         7         7         10        
Vardas401           Pavarde401          3         3         6         4         3         4         2         3         8         9         4         1         10        10        5         5         
Vardas402           Pavarde402          4         9         6         8         8         3         2         10        4         6         9         4         1         2         4         2         
Vardas403           Pavarde403          8         2         8         7         4         3         9         4         6         2         3         9         6         1         1         5         
Vardas404           Pavarde404          9         3         3         1         8         6         9         3         9         8         7         2         1         1         7         4         
Vardas405           Pavarde405          3         9         1         1         10        8         5         6         8         8         8         3         5         10        8         8         
Vardas406           Pavarde406          10        7         5         1         8         10        4         6         5         3         8         5         3         9         2         8         
Vardas407           Pavarde407          6         10        10        5         8         9         4         2         7         3         10        7         5         3         5         5         
Vardas408           Pavarde408          8         9         4         9         3         2         6         4         4         6         3         8         1         3         8         7         
Vardas409           Pavarde409          4         5         10        8         3         4         3         6         6         2         3         5         3         6         7         9         
Vardas410           Pavarde410          10        5         5         2         7         3         7         5         4         2         6         5         9         5         4         7         
Vardas411           Pavarde411          2         2         10        2         1         6         9         1         7         2         8         8         5         4         3         3         
Vardas412           Pavarde412          1         2         9         2         7         8         6         4         3         7         5         9         10        10        2         8         
Vardas413           Pavarde413          10        5         7         7         9         3         9         10        8         5         7         7         5         1         4         1         
Vardas414           Pavarde414          1         1         8         5         8         1         8         8         5         10        2         8         1         2         10        8         
Vardas415           Pavarde415          7         6         1         4         10        6         1         3         5         6         4         7         2         8         2         9         
Vardas416           Pavarde416          4         9         3         6         8         8         9         3         1         3         10        10        8         10        7         2         
Vardas417           Pavarde417          3         4         10        4         5         10        8         7         1         4         8         9         3         9         9         6         
Vardas418           Pavarde418          3         2         2         10        3         5         6         8         8         10        5         5         8         10        10        1         
Vardas419           Pavarde419          7         3         8         5         6         7         6         5         4         2         1         2         6         6         2         4         
Vardas420           Pavarde420          7         9         2         5         8         4         3         6         5         4         9         4         4         8         6         5         
Vardas421           Pavarde421          3         1         7         7         6         2         8         3         8         10        9         1         10        2         3         5         
Vardas422           Pavarde422          9         6         3         7         2         2         6         8         7         10        8         1         4         2         9         10        
Vardas423           Pavarde423          9         1         7         4         2         1         2         3         7         4         5         7         9         8         2         1         
Vardas424           Pavarde424          5         4         3         8         2         4         6         3         8         10        9         1         6         6         9         8         
Vardas425           Pavarde425          6         9         9         3         6         9         10        2         3         6         10        8         5         5         2         4         
Vardas426           Pavarde426          1         8         8         3         9         7         8         6         6         5         5         1         6         7         6         8         
Vardas427           Pavarde427          5         10        2         9         9         8         4         4         6         10        5         10        7         6         1         2         
Vardas428           Pavarde428          7         1         4         2         3         4         3         8         3         4         2         5         8         8         9         10        
Vardas429           Pavarde429          10        9         4         1         1         8         4         5         4         3         4         3         2         5         4         2         
Vardas430           Pavarde430          9         8         4         1         3         1         2         5         9         9         8         9         6         1         1         7         
Vardas431           Pavarde431          6         8         2         5         9         8         2         5         1         2         7         1         1         3         4         5         
Vardas432           Pavarde432          3         4         2         10        8         7         8         1         9         5         9         4         1         7         4         9         
Vardas433           Pavarde433          4         4         7         2         7         9         4         8         9         5         6         1         4         2         8         9         
Vardas434           Pavarde434          5         1         5         1         7         3         1         1         1         2         3         2         7         5         4         9         
Vardas435           Pavarde435          2         8         10        7         7         5         5         7         1         5         2         1         5         1         3         1         
Vardas436           Pavarde436          10        2         4         6         4         5         7         9         7         10        3         3         2         6         3         8         
Vardas437           Pavarde437          10        9         5         8         5         3         6         1         1         3         6         2         8         1         8         10        
Vardas438           Pavarde438          3         4         8         8         9         1         5         1         2         5         6         3         3         1         6         5         
Vardas439           Pavarde439          6         10        5         9         1         5         9         10        4         7         3         2         7         10        5         7         
Vardas440           Pavarde440          7         9         9         7         8         3         9         6         6         9         4         1         5         3         9         4         
Vardas441           Pavarde441          3         9         4         8         10        4         4         8         8         9         5         10        8         10        3         1         
Vardas442           Pavarde442          5         8         8         3         8         8         2         1         1         6         7         9         5         6         2         2         
Vardas443           Pavarde443          8         7         9         3         1         7         4         7         10        2         2         4         4         4         6         3         
Vardas444           Pavarde444          10        10        5         5         9         8         7         1         1         4         10        5         6         4         2         5         
Vardas445           Pavarde445          4         5         3         4         4         3         10        2         5         9         1         4         2         4         5         5         
Vardas446           Pavarde446          3         3         6         9         8         6         8         9         4         3         7         10        5         7         2         9         
Vardas447           Pavarde447          1         1         7         7         10        2         8         1         6         3         9         7         1         7         1         9         
Vardas448           Pavarde448          3         10        8         9         6         3         1         2         7         10        2         4         1         4         3         1         
Vardas449           Pavarde449          4         2         7         9         5         4         4         8         2         5         4         2         8         4         6         10        
Vardas450           Pavarde450          1         8         3         6         5         1         7         2         1         3         1         3         4         7         7         7         
Vardas451           Pavarde451          3         8         7         9         6         9         1         10        4         1         9         1         2         2         1         10        
Vardas452           Pavarde452          2         7         5         5         1         6         5         9         9         3         9         6         8         8         10        4         
Vardas453           Pavarde453          1         8         1         3         5         7         6         4         7         6         4         10        6         2         10        4         
Vardas454           Pavarde454          1         6         1         4         4         3         8         8         8         8         4         2         5         6         9         2         
Vardas455           Pavarde455          8         6         9         8         3         2         6         10        8         7         10        2         10        7         10        6         
Vardas456           Pavarde456          9         9         9         2         4         3         6         6         9         1         4         5         8         7         10        6         
Vardas457           Pavarde457          4         10        10        6         2         2         9         8         1         3         1         3         2         1         3         6         
Vardas458           Pavarde458          4         1         7         5         6         3         1         5         3         9         7         5         4         5         10        1         
Vardas459           Pavarde459          5         2         8         9         2         10        2         8         6         4         8         7         5         9         10        1         
Vardas460           Pavarde460          3         9         1         10        7         5         4         1         4         7         3         6         1         8         2         3         
Vardas461           Pavarde461          2         3         8         1         5         7         3         5         5         6         7         5         2         2         7         9         
Vardas462           Pavarde462          6         9         2         1         10        1         9         8         5         3         10        4         5         3         4         10        
Vardas463           Pavarde463          1         6         5         7         9         5         10        2         4         1         8         3         1         7         1         10        
Vardas464           Pavarde464          1         4         1         4         3         1         10        3         5         5         8         4         10        6         1         2         
Vardas465           Pavarde465          5         5         5         3         3         5         3         9         5         7         8         7         9         9         1         6         
Vardas466           Pavarde466          5         3         8         5         6         6         3         6         4         2         3         4         4         6         6         2         
Vardas467           Pavarde467          6         6         2         6         9         10        8         5         9         6         6         9         2         2         7         6         
Vardas468           Pavarde468          10        5         10        1         5         1         1         6         7         8         9         6         10        6         4         9         
Vardas469           Pavarde469          6         8         1         2         2         8         5         8         3         3         7         7         10        6         9         8         
Vardas470           Pavarde470          8         5         6         1         5         4         6         5         3         3         9         4         2         8         3         2         
Vardas471           Pavarde471          10        7         9         6         10        6         5         3         6         8         5         1         2         5         5         10        
Vardas472           Pavarde472          1         3         4         7         4         3         9         9         1         7         2         3         6         1         9         4         
Vardas473           Pavarde473          7         4         6         7         3         7         8         10        2         7         9         8         8         8         7         8         
Vardas474           Pavarde474          4         3         2         1         8         8         6         7         10        3         10        3         10        9         4         2         
Vardas475           Pavarde475          7         9         3         8         6         7         7         9         2         10        1         8         3         5         7         9         
Vardas476           Pavarde476          4         5         3         6         6         10        4         6         5         9         2         3         9         7         1         9         
Vardas477           Pavarde477          4         7         9         4         7         8         10        8         4         6         1         8         2         3         10        6         
Vardas478           Pavarde478          1         7         6         7         6         3         2         2         1         6         10        6         9         10        7         4         
