Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.      
Vardas1624          Pavarde1624         6         3         9         4         5         8         2         9         7         1         3         8         10        1         10        8         
Vardas1625          Pavarde1625         3         5         1         1         10        8         8         7         1         2         3         1         5         10        5         2         
Vardas1626          Pavarde1626         5         5         10        4         3         10        2         3         7         10        5         6         5         8         10        10        
Vardas1627          Pavarde1627         10        9         10        2         6         6         2         10        9         6         10        5         8         6         5         6         
Vardas1628          Pavarde1628         5         6         5         6         10        8         10        8         10        9         2         10        3         2         1         2         
Vardas1629          Pavarde1629         1         9         1         10        5         5         10        7         6         4         6         2         10        2         5         4         
Vardas1630          Pavarde1630         4         8         1         3         6         4         8         8         9         10        3         6         9         1         1         6         
Vardas1631          Pavarde1631         1         4         8         2         9         7         5         1         7         9         9         2         5         2         6         7         
Vardas1632          Pavarde1632         3         2         8         6         1         1         5         9         8         8         1         10        4         9         10        1         
Vardas1633          Pavarde1633         7         6         1         8         5         5         1         4         2         2         1         6         7         6         8         3         
Vardas1634          Pavarde1634         9         8         1         2         4         7         8         3         10        10        4         10        9         3         9         6         
Vardas1635          Pavarde1635         9         9         3         3         10        2         9         10        6         2         8         9         2         10        2         10        
Vardas1636          Pavarde1636         6         10        5         3         5         3         7         2         9         6         1         4         9         7         6         1         
Vardas1637          Pavarde1637         8         7         4         7         3         4         7         7         6         1         4         3         8         4         3         9         
Vardas1638          Pavarde1638         2         4         5         4         4         3         8         9         4         8         3         9         9         3         3         3         
Vardas1639          Pavarde1639         2         4         4         10        8         10        7         6         10        7         1         1         3         9         4         10        
Vardas1640          Pavarde1640         7         2         2         3         5         10        5         1         5         3         7         2         7         9         1         9         
Vardas1641          Pavarde1641         7         10        9         6         7         7         3         3         1         6         5         5         8         8         7         7         
Vardas1642          Pavarde1642         8         3         4         7         2         2         9         3         5         5         9         6         1         4         5         8         
Vardas1643          Pavarde1643         2         8         2         10        3         4         2         9         9         1         10        2         7         2         8         2         
Vardas1644          Pavarde1644         5         2         4         2         3         6         4         7         7         8         3         10        9         10        3         1         
Vardas1645          Pavarde1645         5         1         3         9         7         5         2         4         6         8         2         2         8         5         2         10        
Vardas1646          Pavarde1646         5         5         8         10        5         1         9         5         3         5         2         1         5         10        4         7         
Vardas1647          Pavarde1647         3         3         2         8         5         1         8         7         10        4         3         9         7         7         1         8         
Vardas1648          Pavarde1648         4         10        5         9         7         2         9         6         1         1         1         5         10        1         10        4         
Vardas1649          Pavarde1649         8         4         2         9         8         5         1         5         6         1         9         7         7         7         1         3         
Vardas1650          Pavarde1650         10        6         2         10        5         8         7         7         9         8         7         3         4         9         5         6         
Vardas1651          Pavarde1651         8         5         7         1         3         7         7         3         2         4         9         10        8         2         3         9         
Vardas1652          Pavarde1652         9         9         7         8         4         6         3         7         3         10        10        2         9         1         7         10        
Vardas1653          Pavarde1653         4         4         5         8         3         10        2         4         4         2         9         6         2         1         2         9         
Vardas1654          Pavarde1654         9         7         10        1         6         1         9         1         5         5         3         7         8         3         10        3         
Vardas1655          Pavarde1655         5         3         8         8         10        9         4         7         3         10        2         8         3         1         5         5         
Vardas1656          Pavarde1656         7         2         5         8         4         4         3         6         7         2         2         10        1         4         1         2         
Vardas1657          Pavarde1657         8         5         6         10        7         9         9         8         5         3         3         3         7         4         1         5         
Vardas1658          Pavarde1658         3         10        4         1         1         9         5         10        5         6         10        4         3         2         3         5         
Vardas1659          Pavarde1659         2         1         5         7         5         4         3         10        9         10        8         7         10        1         1         1         
Vardas1660          Pavarde1660         8         10        7         3         1         4         6         1         6         4         6         6         3         9         3         4         
Vardas1661          Pavarde1661         8         3         4         3         7         4         4         8         6         7         4         5         3         3         10        1         
Vardas1662          Pavarde1662         6         5         6         5         2         4         8         3         10        9         2         8         7         3         2         8         
Vardas1663          Pavarde1663         6         8         4         10        2         5         9         7         5         1         4         9         6         2         1         8         
Vardas1664          Pavarde1664         7         8         1         8         6         6         2         9         10        5         2         8         9         5         5         5         
Vardas1665          Pavarde1665         3         10        5         9         10        3         4         1         7         2         4         6         7         3         2         2         
Vardas1666          Pavarde1666         6         1         9         7         4         10        9         9         9         9         10        6         7         8         5         8         
Vardas1667          Pavarde1667         8         2         7         8         6         3         5         6         5         7         9         7         8         6         3         10        
Vardas1668          Pavarde1668         6         2         9         1         7         2         9         1         9         5         9         1         4         3         4         6         
Vardas1669          Pavarde1669         8         9         1         4         2         1         4         6         7         10        5         7         10        8         5         9         
Vardas1670          Pavarde1670         5         8         3         10        4         9         8         9         8         2         5         9         7         8         7         7         
Vardas1671          Pavarde1671         5         9         4         1         6         3         10        7         8         3         1         9         1         3         3         8         
Vardas1672          Pavarde1672         1         8         10        10        8         5         7         2         5         10        10        3         3         6         7         10        
Vardas1673          Pavarde1673         4         7         9         2         9         5         9         6         7         5         9         10        2         3         6         6         
Vardas1674          Pavarde1674         8         6         4         5         9         6         1         1         6         8         1         10        6         5         6         10        
Vardas1675          Pavarde1675         8         5         1         8         10        7         10        2         1         7         3         5         6         4         5         3         
Vardas1676          Pavarde1676         3         9         10        5         5         8         4         4         1         1         9         4         5         3         6         3         
Vardas1677          Pavarde1677         3         8         6         9         9         2         2         9         3         3         10        8         6         6         1         1         
Vardas1678          Pavarde1678         4         8         10        6         9         3         9         8         9         10        4         1         2         1         5         5         
Vardas1679          Pavarde1679         9         7         7         5         9         4         10        2         4         10        10        3         6         4         4         2         
Vardas1680          Pavarde1680         1         3         8         7         8         3         2         2         7         3         7         7         9         8         8         5         
Vardas1681          Pavarde1681         3         6         7         7         10        10        4         8         10        9         5         6         5         9         2         7         
Vardas1682          Pavarde1682         7         10        4         6         3         9         3         6         6         7         6         7         4         7         5         8         
Vardas1683          Pavarde1683         2         3         5         10        7         6         2         4         1         2         8         9         5         4         5         8         
Vardas1684          Pavarde1684         4         9         4         10        10        7         6         3         3         3         5         7         3         3         6         10        
Vardas1685          Pavarde1685         5         7         4         2         10        3         3         6         8         3         1         6         10        2         5         5         
Vardas1686          Pavarde1686         3         7         3         8         1         9         5         4         6         8         6         10        2         3         7         3         
Vardas1687          Pavarde1687         10        2         1         5         8         2         8         10        7         2         1         4         4         10        10        4         
Vardas1688          Pavarde1688         6         6         5         6         5         2         6         1         5         3         3         6         5         10        3         5         
Vardas1689          Pavarde1689         7         1         7         9         10        5         1         2         6         7         4         6         8         7         2         1         
Vardas1690          Pavarde1690         8         5         1         4         8         2         5         4         10        8         6         1         2         8         6         3         
Vardas1691          Pavarde1691         1         3         1         10        9         5         4         8         1         6         4         9         10        1         6         10        
Vardas1692          Pavarde1692         3         5         5         6         1         4         1         3         3         10        5         10        6         1         5         3         
Vardas1693          Pavarde1693         7         3         2         4         8         4         6         8         6         2         3         5         5         7         8         2         
Vardas1694          Pavarde1694         8         9         1         3         4         7         10        5         4         5         8         5         5         2         7         6         
Vardas1695          Pavarde1695         3         1         7         9         4         2         5         10        7         6         5         10        7         8         7         5         
Vardas1696          Pavarde1696         9         4         8         3         4         2         8         5         8         5         10        4         2         5         1         6         
Vardas1697          Pavarde1697         7         2         9         8         7         1         9         1         8         5         3         6         4         4         10        7         
Vardas1698          Pavarde1698         5         5         9         6         7         3         8         2         5         1         6         5         7         6         9         1         
Vardas1699          Pavarde1699         6         10        4         9         10        6         7         5         9         5         3         7         4         5         5         2         
Vardas1700          Pavarde1700         8         7         3         6         5         3         1         4         6         9         4         2         4         7         5         7         
Vardas1701          Pavarde1701         4         9         4         10        3         10        6         7         5         8         9         8         10        4         1         3         
Vardas1702          Pavarde1702         1         5         1         2         5         3         6         2         9         7         7         6         5         10        1         5         
Vardas1703          Pavarde1703         10        8         5         7         10        7         8         6         6         2         2         4         7         9         5         10        
Vardas1704          Pavarde1704         8         4         4         8         2         2         10        9         2         10        7         5         6         8         4         10        
Vardas1705          Pavarde1705         9         8         9         9         3         6         7         5         2         8         6         4         8         5         5         1         
Vardas1706          Pavarde1706         4         1         6         10        4         6         6         7         6         5         3         2         2         10        4         8         
Vardas1707          Pavarde1707         10        4         7         3         1         9         6         9         2         2         1         4         7         8         7         4         
Vardas1708          Pavarde1708         4         4         10        4         6         4         2         1         10        10        8         1         10        9         10        3         
Vardas1709          Pavarde1709         9         1         8         3         8         1         7         9         6         6         10        4         9         9         2         10        
Vardas1710          Pavarde1710         7         10        7         7         7         10        4         6         8         3         4         8         3         4         6         10        
Vardas1711          Pavarde1711         7         10        9         5         9         1         5         7         7         8         2         5         8         5         3         4         
Vardas1712          Pavarde1712         1         10        7         7         4         9         3         8         4         10        2         2         1         5         8         9         
Vardas1713          Pavarde1713         1         2         10        1         2         7         10        4         4         6         7         8         5         7         3         1         
Vardas1714          Pavarde1714         6         9         2         7         1         8         1         2         7         2         4         3         2         9         9         8         
Vardas1715          Pavarde1715         9         1         8         8         8         9         8         5         1         9         2         4         6         4         8         8         
Vardas1716          Pavarde1716         7         4         1         2         4         3         1         4         3         2         5         2         9         5         10        2         
Vardas1717          Pavarde1717         1         3         4         7         3         2         6         7         7         4         2         4         2         5         1         1         
Vardas1718          Pavarde1718         5         4         6         10        9         2         4         2         10        3         3         5         4         8         10        4         
Vardas1719          Pavarde1719         2         7         4         6         1         7         2         2         8         1         2         3         7         9         1         10        
Vardas1720          Pavarde1720         3         2         10        4         7         3         10        3         8         3         3         3         1         3         1         10        
Vardas1721          Pavarde1721         3         7         2         3         4         10        7         8         10        8         10        4         7         8         9         3         
Vardas1722          Pavarde1722         3         3         6         10        4         8         8         1         2         5         7         1         6         8         7         7         
Vardas1723          Pavarde1723         6         4         10        10        8         2         5         6         7         6         10        2         2         6         7         3         
Vardas1724          Pavarde1724         7         7         8         3         8         8         4         7         3         1         1         9         4         7         6         5         
Vardas1725          Pavarde1725         7         4         1         7         5         7         9         3         8         2         1         10        6         6         4         6         
Vardas1726          Pavarde1726         8         8         1         4         9         2         9         5         2         8         2         5         2         7         5         8         
Vardas1727          Pavarde1727         1         4         3         8         9         6         5         4         1         3         10        6         3         5         6         4         
Vardas1728          Pavarde1728         10        4         8         1         10        9         6         7         3         3         5         4         4         2         4         2         
Vardas1729          Pavarde1729         8         9         6         6         8         3         7         4         7         6         6         6         4         8         3         7         
Vardas1730          Pavarde1730         6         3         5         6         7         8         3         1         7         9         4         9         4         6         9         7         
Vardas1731          Pavarde1731         10        10        1         2         10        3         8         10        5         8         8         2         6         4         6         6         
Vardas1732          Pavarde1732         6         5         5         9         6         2         7         8         1         6         2         10        3         8         7         9         
Vardas1733          Pavarde1733         3         4         1         3         7         7         3         4         2         6         1         9         7         7         3         1         
Vardas1734          Pavarde1734         2         3         3         2         7         8         7         4         5         9         10        10        2         4         4         5         
Vardas1735          Pavarde1735         4         2         4         7         5         5         10        1         6         3         1         8         5         1         4         6         
Vardas1736          Pavarde1736         2         2         2         7         6         7         2         7         3         6         4         3         3         2         1         1         
Vardas1737          Pavarde1737         7         1         8         7         10        9         1         2         9         7         6         7         4         2         4         6         
Vardas1738          Pavarde1738         5         3         10        5         4         8         5         2         8         4         6         5         5         9         7         10        
Vardas1739          Pavarde1739         9         3         9         6         2         5         1         6         7         6         6         6         8         10        9         7         
Vardas1740          Pavarde1740         7         1         10        10        10        10        1         10        3         10        8         4         2         9         2         8         
Vardas1741          Pavarde1741         1         10        7         7         8         10        5         3         10        6         10        10        2         4         4         6         
Vardas1742          Pavarde1742         10        7         9         4         3         3         8         8         3         6         5         4         1         10        6         10        
Vardas1743          Pavarde1743         6         3         8         2         5         2         2         9         3         6         9         1         5         3         5         6         
Vardas1744          Pavarde1744         10        5         3         3         2         10        3         3         4         6         8         10        3         2         8         2         
Vardas1745          Pavarde1745         9         2         9         9         9         2         6         3         8         8         2         7         1         3         10        6         
Vardas1746          Pavarde1746         6         1         6         7         1         3         2         3         1         4         4         2         5         4         3         8         
Vardas1747          Pavarde1747         1         8         3         3         9         9         3         4         10        5         6         2         5         3         5         4         
Vardas1748          Pavarde1748         3         8         1         5         1         8         6         3         7         10        6         9         10        7         8         5         
Vardas1749          Pavarde1749         7         7         5         5         4         1         3         6         10        9         4         5         2         1         10        6         
Vardas1750          Pavarde1750         5         10        6         10        2         4         5         1         7         10        2         3         2         2         8         6         
Vardas1751          Pavarde1751         6         1         1         5         9         3         8         9         10        10        3         2         4         8         8         4         
Vardas1752          Pavarde1752         3         6         6         6         10        8         6         3         2         4         6         10        3         7         4         6         
Vardas1753          Pavarde1753         5         2         10        6         6         5         7         1         1         4         7         10        8         5         10        4         
Vardas1754          Pavarde1754         6         2         3         3         2         10        5         4         1         4         8         7         5         6         10        1         
Vardas1755          Pavarde1755         10        6         1         9         6         4         4         10        4         8         1         2         1         3         5         1         
Vardas1756          Pavarde1756         7         3         1         10        9         9         6         3         10        1         3         1         10        9         5         6         
Vardas1757          Pavarde1757         9         9         5         8         8         2         7         4         7         7         6         4         4         1         5         5         
Vardas1758          Pavarde1758         9         4         1         8         3         7         6         5         7         2         4         7         10        8         6         10        
Vardas1759          Pavarde1759         4         6         4         5         1         9         10        5         1         9         7         6         1         3         8         3         
Vardas1760          Pavarde1760         4         9         8         10        3         7         4         8         7         5         3         6         5         1         7         1         
Vardas1761          Pavarde1761         7         9         4         3         5         6         1         6         2         7         5         6         9         10        2         2         
Vardas1762          Pavarde1762         4         9         10        2         3         6         5         10        5         2         6         8         4         2         1         8         
Vardas1763          Pavarde1763         3         1         4         9         7         10        3         6         4         10        5         4         8         4         10        2         
Vardas1764          Pavarde1764         1         10        3         9         8         10        9         6         1         7         3         4         6         9         2         2         
Vardas1765          Pavarde1765         4         2         10        7         9         6         1         9         2         1         8         5         7         2         8         1         
Vardas1766          Pavarde1766         3         2         10        5         7         10        1         4         2         1         8         1         5         2         9         10        
Vardas1767          Pavarde1767         6         1         1         6         1         6         8         4         7         2         1         7         5         10        7         10        
Vardas1768          Pavarde1768         2         8         2         1         7         4         9         4         7         9         8         1         3         2         10        3         
Vardas1769          Pavarde1769         8         7         5         4         2         6         3         8         4         7         9         5         1         8         3         1         
Vardas1770          Pavarde1770         3         2         5         2         2         9         4         7         10        2         2         7         2         4         4         9         
Vardas1771          Pavarde1771         7         10        4         3         8         1         10        3         10        10        3         5         2         5         2         9         
Vardas1772          Pavarde1772         3         9         1         7         6         8         1         7         2         10        8         5         10        8         9         10        
Vardas1773          Pavarde1773         8         7         8         4         3         10        5         4         2         9         6         6         10        1         8         6         
Vardas1774          Pavarde1774         1         10        5         8         4         5         5         3         4         5         6         7         6         5         4         10        
Vardas1775          Pavarde1775         6         6         7         1         10        7         9         5         5         1         1         7         1         6         6         1         
Vardas1776          Pavarde1776         10        10        3         10        4         8         2         6         3         5         1         8         2         3         7         7         
Vardas1777          Pavarde1777         5         5         8         7         4         8         8         5         4         7         7         1         9         6         5         3         
Vardas1778          Pavarde1778         10        10        8         6         2         3         10        8         7         10        2         1         7         1         7         3         
Vardas1779          Pavarde1779         5         5         2         10        9         9         5         8         2         6         7         6         8         2         8         4         
Vardas1780          Pavarde1780         10        4         9         1         10        8         8         9         5         2         10        3         5         10        6         1         
Vardas1781          Pavarde1781         8         9         8         8         9         2         8         8         3         10        1         4         10        6         6         8         
Vardas1782          Pavarde1782         2         6         6         1         8         6         5         2         3         9         3         4         6         5         10        3         
Vardas1783          Pavarde1783         2         4         2         5         9         9         10        1         8         5         7         2         3         8         6         3         
Vardas1784          Pavarde1784         8         9         8         4         10        7         2         4         4         6         1         6         10        4         7         9         
Vardas1785          Pavarde1785         2         10        4         10        9         2         2         6         3         5         5         10        1         10        2         1         
Vardas1786          Pavarde1786         1         1         8         8         1         8         3         2         9         8         1         5         1         5         7         5         
Vardas1787          Pavarde1787         9         5         4         7         1         6         8         7         3         4         4         2         2         7         1         9         
Vardas1788          Pavarde1788         4         7         10        1         3         9         4         7         8         9         10        9         7         1         5         10        
Vardas1789          Pavarde1789         8         7         9         8         1         3         4         9         3         5         4         7         2         3         8         5         
Vardas1790          Pavarde1790         6         7         5         6         9         5         1         1         3         5         8         7         7         1         3         8         
Vardas1791          Pavarde1791         9         2         6         7         3         8         8         3         3         4         8         10        2         4         4         2         
Vardas1792          Pavarde1792         8         7         10        10        2         1         7         3         7         10        2         8         1         5         1         8         
Vardas1793          Pavarde1793         3         2         8         8         2         3         5         8         10        3         8         4         8         8         2         3         
Vardas1794          Pavarde1794         4         4         1         1         10        7         2         6         7         4         7         8         5         9         7         4         
Vardas1795          Pavarde1795         1         8         6         6         5         10        5         3         2         4         10        7         4         2         5         5         
Vardas1796          Pavarde1796         7         1         4         8         1         3         4         3         10        3         3         10        8         10        3         2         
Vardas1797          Pavarde1797         9         2         2         10        7         6         1         5         1         3         6         1         5         4         3         5         
Vardas1798          Pavarde1798         2         8         6         5         3         7         7         10        7         3         1         7         3         9         2         7         
Vardas1799          Pavarde1799         6         5         4         3         4         4         5         7         6         8         5         1         3         3         3         10        
Vardas1800          Pavarde1800         4         1         1         1         5         10        8         5         5         3         5         9         9         9         6         4         
Vardas1801          Pavarde1801         2         8         10        4         2         7         7         8         3         8         5         7         5         1         2         4         
Vardas1802          Pavarde1802         9         8         9         2         1         9         3         7         2         5         1         8         10        3         5         7         
Vardas1803          Pavarde1803         4         7         4         4         6         8         6         9         7         3         3         6         10        8         3         4         
Vardas1804          Pavarde1804         6         3         9         4         2         2         1         8         2         6         7         6         4         10        2         9         
Vardas1805          Pavarde1805         8         7         1         2         9         9         2         2         6         1         2         9         6         2         2         9         
Vardas1806          Pavarde1806         6         1         5         6         10        5         3         3         1         9         2         8         2         10        7         1         
Vardas1807          Pavarde1807         5         9         5         6         5         7         7         3         5         10        1         10        10        2         3         6         
Vardas1808          Pavarde1808         3         8         4         1         8         4         6         2         2         5         2         5         1         3         3         1         
Vardas1809          Pavarde1809         4         2         10        10        3         9         1         1         8         10        8         4         9         2         1         4         
Vardas1810          Pavarde1810         5         6         6         3         5         1         5         2         3         5         2         5         1         8         1         7         
Vardas1811          Pavarde1811         4         6         7         2         3         8         2         10        10        1         1         5         9         7         5         3         
Vardas1812          Pavarde1812         6         2         10        7         3         3         7         9         5         7         6         1         1         1         1         6         
Vardas1813          Pavarde1813         5         10        5         9         6         2         2         5         8         10        3         8         4         4         9         4         
Vardas1814          Pavarde1814         4         8         5         1         2         10        5         9         3         8         3         3         5         2         6         8         
Vardas1815          Pavarde1815         10        5         5         8         8         6         6         8         3         4         5         1         1         2         2         2         
Vardas1816          Pavarde1816         9         6         1         3         4         7         8         1         6         2         3         1         2         1         5         4         
Vardas1817          Pavarde1817         10        9         7         3         4         3         1         2         5         9         3         5         6         7         8         1         
Vardas1818          Pavarde1818         3         10        1         3         10        6         9         1         9         8         2         3         4         8         2         10        
Vardas1819          Pavarde1819         4         2         1         5         3         9         3         3         9         2         5         7         9         9         5         1         
Vardas1820          Pavarde1820         7         10        9         7         2         1         3         1         8         3         8         7         3         9         10        6         
Vardas1821          Pavarde1821         4         6         9         7         4         6         3         4         9         2         9         8         7         2         5         4         
Vardas1822          Pavarde1822         3         9         1         1         4         7         4         10        1         9         4         3         7         3         4         4         
Vardas1823          Pavarde1823         8         8         5         7         9         5         5         6         3         2         2         2         7         3         9         7         
Vardas1824          Pavarde1824         6         5         3         7         10        4         9         3         3         2         5         1         4         8         2         7         
Vardas1825          Pavarde1825         9         7         5         5         9         4         3         4         7         2         1         8         5         10        6         4         
Vardas1826          Pavarde1826         1         4         2         3         8         2         5         5         1         10        4         10        10        6         6         4         
Vardas1827          Pavarde1827         10        6         9         3         1         9         2         10        9         6         4         1         4         9         7         9         
Vardas1828          Pavarde1828         7         3         5         7         10        9         6         2         1         3         6         6         8         9         2         9         
Vardas1829          Pavarde1829         6         1         7         2         1         1         10        9         4         10        5         9         6         5         3         4         
Vardas1830          Pavarde1830         5         9         10        7         3         8         10        1         4         10        3         5         5         3         4         6         
Vardas1831          Pavarde1831         2         5         8         5         9         4         8         5         9         7         8         2         2         8         5         5         
Vardas1832          Pavarde1832         3         6         8         2         6         4         6         6         3         10        1         10        10        7         9         1         
Vardas1833          Pavarde1833         1         10        2         1         1         1         10        5         5         3         7         3         6         2         10        2         
Vardas1834          Pavarde1834         7         2         8         8         10        2         8         1         7         8         9         8         6         10        6         1         
Vardas1835          Pavarde1835         1         4         3         3         3         2         5         2         5         3         5         6         7         2         5         9         
Vardas1836          Pavarde1836         3         7         5         3         10        4         3         9         7         3         6         7         10        10        8         10        
Vardas1837          Pavarde1837         2         10        7         3         9         3         3         2         3         6         10        5         6         2         10        10        
Vardas1838          Pavarde1838         10        10        7         1         4         1         10        3         6         9         1         1         2         8         5         5         
Vardas1839          Pavarde1839         2         7         5         10        4         6         6         4         2         5         4         2         9         2         5         9         
Vardas1840          Pavarde1840         8         2         6         10        9         4         3         2         2         2         4         1         1         4         1         7         
Vardas1841          Pavarde1841         10        8         8         1         9         8         8         5         2         9         4         4         1         4         4         9         
Vardas1842          Pavarde1842         1         3         7         5         1         1         10        3         6         8         7         9         3         8         4         1         
Vardas1843          Pavarde1843         4         5         1         1         1         5         8         4         7         5         2         8         1         4         4         9         
Vardas1844          Pavarde1844         10        1         10        1         1         9         10        5         9         1         10        10        5         8         9         9         
Vardas1845          Pavarde1845         6         3         2         9         4         1         6         3         1         1         7         7         8         10        9         1         
Vardas1846          Pavarde1846         10        2         10        9         3         4         9         1         4         6         1         7         1         7         2         6         
